"OrderNumber";"OrderDate";"Customer Name Index";"Channel";"Currency Code";"Warehouse Code";"Delivery Region Index";"Product Description Index";"Order Quantity";"Unit Price";"Line Total";"Total Unit Cost"
"SO - 0005121";"2021-01-01";88;"Wholesale";"USD";"AXW291";542;30;6;5681.6;34089.600000000006;4090.752
"SO - 0010233";"2021-01-01";130;"Distributor";"USD";"AXW291";824;2;7;3899.4;27295.8;1598.754
"SO - 0002206";"2021-01-01";81;"Wholesale";"USD";"AXW291";82;16;8;174.20000000000002;1393.6;109.746
"SO - 0002543";"2021-01-01";114;"Export";"USD";"FLR025";191;14;9;3644.8;32803.200000000004;2587.808
"SO - 0002921";"2021-01-01";66;"Wholesale";"USD";"AXW291";676;26;10;5875.900000000001;58759.00000000001;4289.407
"SO - 0003715";"2021-01-01";78;"Wholesale";"USD";"AXW291";452;26;10;1085.4;10854.0;857.4660000000001
"SO - 0004471";"2021-01-01";82;"Wholesale";"USD";"AXW291";356;14;12;2237.8;26853.6;939.876
"SO - 0004751";"2021-01-01";161;"Distributor";"USD";"NXH382";150;8;9;1172.5;10552.5;515.9
"SO - 0006833";"2021-01-01";172;"Export";"USD";"FLR025";701;4;7;2613.0;18291.0;2142.66
"SO - 0008532";"2021-01-01";72;"Wholesale";"USD";"GUT930";925;5;11;938.0;10318.0;675.36
"SO - 0010560";"2021-01-01";35;"Export";"USD";"NXH382";528;16;6;2994.9;17969.4;2455.818
"SO - 0003527";"2021-01-02";8;"Wholesale";"USD";"AXW291";90;18;11;1701.8;18719.8;1429.512
"SO - 0003901";"2021-01-02";92;"Wholesale";"USD";"AXW291";754;25;5;1728.6;8643.0;1019.874
"SO - 0001098";"2021-01-02";31;"Wholesale";"USD";"AXW291";400;30;11;1675.0;18425.0;1155.75
"SO - 0001725";"2021-01-02";143;"Wholesale";"USD";"AXW291";460;15;8;6525.8;52206.4;2806.094
"SO - 0002795";"2021-01-02";111;"Wholesale";"USD";"AXW291";490;26;12;3872.6;46471.2;2517.19
"SO - 0003310";"2021-01-02";81;"Distributor";"USD";"FLR025";207;26;10;1038.5;10385.0;529.635
"SO - 0004126";"2021-01-02";117;"Wholesale";"USD";"AXW291";329;14;10;3041.8;30418.0;2038.0060000000003
"SO - 0005940";"2021-01-02";69;"Export";"USD";"GUT930";95;13;6;5212.6;31275.6;2814.8040000000005
"SO - 0006793";"2021-01-02";84;"Export";"USD";"AXW291";587;14;10;3953.0;39530.0;3043.81
"SO - 0007868";"2021-01-02";144;"Distributor";"USD";"AXW291";170;3;9;850.9;7658.099999999999;433.959
"SO - 0009934";"2021-01-02";33;"Export";"USD";"NXH382";923;3;11;2519.2000000000003;27711.200000000004;1058.064
"SO - 000791";"2021-01-02";130;"Export";"USD";"AXW291";98;17;5;3108.8;15544.0;1896.368
"SO - 0003756";"2021-01-02";136;"Export";"USD";"AXW291";442;30;10;221.1;2211.0;128.238
"SO - 0004390";"2021-01-02";36;"Export";"USD";"GUT930";272;16;6;5929.5;35577.0;4209.945
"SO - 0006241";"2021-01-02";124;"Wholesale";"USD";"AXW291";869;3;10;1065.3;10653.0;628.5269999999999
"SO - 0008226";"2021-01-02";121;"Wholesale";"USD";"AXW291";747;20;11;938.0;10318.0;684.74
"SO - 0010346";"2021-01-02";29;"Export";"USD";"AXW291";272;4;5;5708.400000000001;28542.000000000004;2283.36
"SO - 0004104";"2021-01-02";168;"Wholesale";"USD";"NXH382";671;23;7;3839.1;26873.7;2457.024
"SO - 0005545";"2021-01-02";115;"Wholesale";"USD";"AXW291";256;2;8;1098.8;8790.4;483.472
"SO - 0005765";"2021-01-02";113;"Distributor";"USD";"AXW291";90;13;7;5688.3;39818.1;2502.8520000000003
"SO - 0006767";"2021-01-02";105;"Distributor";"USD";"GUT930";31;16;10;1983.2;19832.0;1269.248
"SO - 0006883";"2021-01-02";175;"Distributor";"USD";"GUT930";322;7;12;1246.2;14954.4;834.9540000000001
"SO - 0007017";"2021-01-02";139;"Distributor";"USD";"NXH382";787;5;9;3825.7;34431.3;2486.7050000000004
"SO - 0007493";"2021-01-02";94;"Wholesale";"USD";"GUT930";296;18;8;2351.7000000000003;18813.6;1293.4350000000002
"SO - 0008686";"2021-01-02";146;"Export";"USD";"NXH382";235;21;7;3189.2000000000003;22324.4;2647.036
"SO - 0008746";"2021-01-02";128;"Distributor";"USD";"AXW291";479;16;10;2244.5;22445.0;920.245
"SO - 0001523";"2021-01-02";82;"Distributor";"USD";"GUT930";254;25;5;6137.2;30686.0;4234.668
"SO - 0002194";"2021-01-02";159;"Wholesale";"USD";"AXW291";339;20;7;2680.0;18760.0;1098.8
"SO - 0002824";"2021-01-02";150;"Wholesale";"USD";"AXW291";45;15;8;1092.1;8736.800000000001;589.7340000000002
"SO - 0002859";"2021-01-02";12;"Distributor";"USD";"FLR025";481;8;11;1688.4;18572.4;776.6640000000001
"SO - 0003113";"2021-01-02";101;"Wholesale";"USD";"GUT930";205;25;8;1802.3;14418.4;1297.656
"SO - 0004190";"2021-01-02";133;"Wholesale";"USD";"AXW291";861;13;10;3946.3;39463.0;2249.391
"SO - 0004531";"2021-01-02";38;"Distributor";"USD";"AXW291";586;12;6;3932.9;23597.4;2084.4370000000004
"SO - 0004734";"2021-01-02";24;"Distributor";"USD";"AXW291";752;11;9;1105.5;9949.5;486.42
"SO - 0005505";"2021-01-02";56;"Wholesale";"USD";"GUT930";924;21;6;1802.3;10813.8;1315.679
"SO - 0006105";"2021-01-02";38;"Export";"USD";"AXW291";330;14;11;1896.1;20857.1;777.401
"SO - 0007660";"2021-01-02";140;"Wholesale";"USD";"AXW291";541;27;5;2921.2000000000003;14606.000000000002;2103.264
"SO - 0009316";"2021-01-02";93;"Wholesale";"USD";"AXW291";81;11;11;2867.6;31543.6;1319.096
"SO - 0009694";"2021-01-02";44;"Wholesale";"USD";"AXW291";632;14;10;911.2;9112.0;637.84
"SO - 0008905";"2021-01-02";43;"Wholesale";"USD";"GUT930";408;2;7;1092.1;7644.700000000001;589.7340000000002
"SO - 0010547";"2021-01-02";107;"Wholesale";"USD";"FLR025";956;27;7;207.7;1453.9;176.54500000000002
"SO - 0001033";"2021-01-02";146;"Wholesale";"USD";"AXW291";115;25;9;2552.7000000000003;22974.300000000003;2093.214
"SO - 0007387";"2021-01-02";166;"Wholesale";"USD";"NXH382";919;26;8;938.0;7504.0;731.64
"SO - 0009903";"2021-01-02";11;"Wholesale";"USD";"AXW291";618;11;11;3973.1;43704.1;3337.404
"SO - 0002911";"2021-01-03";37;"Wholesale";"USD";"AXW291";346;15;6;911.2;5467.200000000001;665.176
"SO - 0003775";"2021-01-03";39;"Distributor";"USD";"AXW291";149;18;12;891.1;10693.2;516.838
"SO - 0004386";"2021-01-03";57;"Distributor";"USD";"AXW291";478;19;9;1045.2;9406.8;418.08
"SO - 0004792";"2021-01-03";141;"Wholesale";"USD";"AXW291";219;1;6;167.5;1005.0;83.75
"SO - 0005414";"2021-01-03";152;"Wholesale";"USD";"AXW291";989;25;7;1835.8;12850.6;1413.566
"SO - 0005609";"2021-01-03";58;"Distributor";"USD";"AXW291";130;10;7;3966.4;27764.8;1903.872
"SO - 0006308";"2021-01-03";78;"Wholesale";"USD";"AXW291";29;28;8;214.4;1715.2;124.352
"SO - 0006534";"2021-01-03";151;"Distributor";"USD";"AXW291";344;15;9;5152.3;46370.7;3709.656
"SO - 0007139";"2021-01-03";159;"Wholesale";"USD";"AXW291";545;2;6;2418.7000000000003;14512.2;1910.7730000000004
"SO - 0001045";"2021-01-03";85;"Export";"USD";"NXH382";919;30;12;1125.6;13507.2;529.032
"SO - 0002195";"2021-01-03";37;"Wholesale";"USD";"AXW291";536;15;7;1675.0;11725.0;686.75
"SO - 0002314";"2021-01-03";29;"Wholesale";"USD";"GUT930";405;14;5;6304.7;31523.5;2774.068
"SO - 0004070";"2021-01-03";39;"Distributor";"USD";"NXH382";844;19;6;2646.5;15879.0;1243.855
"SO - 0006097";"2021-01-03";155;"Wholesale";"USD";"NXH382";823;25;8;2010.0;16080.0;1386.9
"SO - 0010022";"2021-01-03";100;"Wholesale";"USD";"AXW291";670;2;5;247.9;1239.5;185.925
"SO - 0010373";"2021-01-03";115;"Wholesale";"USD";"AXW291";719;25;10;3906.1;39061.0;2695.209
"SO - 0009496";"2021-01-03";19;"Distributor";"USD";"GUT930";992;25;6;5386.8;32320.800000000003;3070.476
"SO - 0010605";"2021-01-03";22;"Wholesale";"USD";"NXH382";339;5;5;1065.3;5326.5;543.303
"SO - 000717";"2021-01-03";58;"Wholesale";"USD";"AXW291";493;22;5;2291.4;11457.0;1581.066
"SO - 0002802";"2021-01-03";60;"Distributor";"USD";"AXW291";411;25;7;2559.4;17915.8;1612.422
"SO - 0003853";"2021-01-03";113;"Distributor";"USD";"NXH382";692;3;9;1809.0;16281.0;1338.66
"SO - 0004109";"2021-01-03";160;"Wholesale";"USD";"AXW291";179;13;9;1989.9;17909.100000000002;1591.92
"SO - 0004622";"2021-01-03";15;"Wholesale";"USD";"GUT930";421;3;11;2318.2000000000003;25500.200000000004;1947.288
"SO - 0004965";"2021-01-03";68;"Distributor";"USD";"AXW291";541;4;7;3825.7;26779.9;1874.593
"SO - 0005431";"2021-01-03";165;"Wholesale";"USD";"NXH382";811;20;5;5514.1;27570.5;2536.4860000000003
"SO - 0007483";"2021-01-03";169;"Distributor";"USD";"NXH382";539;25;9;944.7;8502.300000000001;566.82
"SO - 0009671";"2021-01-03";98;"Distributor";"USD";"AXW291";426;5;7;1105.5;7738.5;928.62
"SO - 000187";"2021-01-03";136;"Wholesale";"USD";"FLR025";507;13;5;891.1;4455.5;632.681
"SO - 000198";"2021-01-03";19;"Export";"USD";"FLR025";227;30;11;2472.3;27195.300000000003;1433.934
"SO - 0003309";"2021-01-03";146;"Export";"USD";"AXW291";617;19;7;2351.7000000000003;16461.9;1622.673
"SO - 0003348";"2021-01-03";8;"Wholesale";"USD";"AXW291";488;8;12;884.4;10612.8;477.576
"SO - 0003548";"2021-01-03";173;"Export";"USD";"NXH382";678;26;7;1172.5;8207.5;644.875
"SO - 0004273";"2021-01-03";9;"Wholesale";"USD";"NXH382";883;13;8;3832.4;30659.2;3219.216
"SO - 0005395";"2021-01-03";112;"Distributor";"USD";"FLR025";369;25;9;1011.7;9105.3;536.201
"SO - 0010342";"2021-01-03";71;"Wholesale";"USD";"AXW291";301;5;9;1916.2;17245.8;1034.748
"SO - 0008833";"2021-01-03";126;"Wholesale";"USD";"NXH382";292;4;10;6371.7;63717.0;2803.548
"SO - 0008201";"2021-01-03";105;"Distributor";"USD";"AXW291";150;26;8;3356.7000000000003;26853.6;1879.7520000000004
"SO - 0008587";"2021-01-03";25;"Wholesale";"USD";"FLR025";528;14;5;227.8;1139.0;186.796
"SO - 0009558";"2021-01-03";108;"Distributor";"USD";"NXH382";223;22;10;1232.8;12328.0;862.9599999999999
"SO - 0001941";"2021-01-03";160;"Distributor";"USD";"GUT930";582;5;12;1038.5;12462.0;581.5600000000001
"SO - 0001966";"2021-01-03";174;"Wholesale";"USD";"AXW291";362;3;10;1172.5;11725.0;973.175
"SO - 0002436";"2021-01-03";157;"Distributor";"USD";"FLR025";872;27;11;3859.2;42451.2;1736.64
"SO - 0003555";"2021-01-03";120;"Distributor";"USD";"AXW291";476;6;11;1829.1;20120.1;859.677
"SO - 0004288";"2021-01-03";29;"Export";"USD";"AXW291";190;3;5;221.1;1105.5;152.559
"SO - 0004460";"2021-01-03";108;"Wholesale";"USD";"GUT930";681;20;12;5688.3;68259.6;4152.459
"SO - 0004900";"2021-01-03";114;"Wholesale";"USD";"GUT930";744;2;10;2405.3;24053.0;986.173
"SO - 0005729";"2021-01-03";146;"Wholesale";"USD";"NXH382";611;13;10;3825.7;38257.0;1836.336
"SO - 0005909";"2021-01-03";4;"Wholesale";"USD";"AXW291";779;17;9;3859.2;34732.8;1813.824
"SO - 0008255";"2021-01-03";88;"Wholesale";"USD";"AXW291";161;30;6;5681.6;34089.600000000006;4090.752
"SO - 000105";"2021-01-03";143;"Wholesale";"USD";"AXW291";804;13;6;1822.4;10934.4;1476.1440000000002
"SO - 0003563";"2021-01-03";160;"Wholesale";"USD";"GUT930";202;1;12;1165.8;13989.6;827.718
"SO - 0004526";"2021-01-03";175;"Export";"USD";"FLR025";952;5;5;3993.2;19966.0;2635.512
"SO - 0010280";"2021-01-03";124;"Export";"USD";"NXH382";66;18;8;1058.6;8468.800000000001;529.3000000000001
"SO - 0010404";"2021-01-03";45;"Wholesale";"USD";"AXW291";62;19;12;2472.3;29667.6;1236.15
"SO - 0009276";"2021-01-03";175;"Distributor";"USD";"GUT930";790;3;7;1688.4;11818.8;1215.648
"SO - 000450";"2021-01-04";47;"Wholesale";"USD";"AXW291";378;25;7;1078.7;7550.900000000001;906.108
"SO - 0001724";"2021-01-04";88;"Wholesale";"USD";"AXW291";462;25;11;1038.5;11423.5;633.485
"SO - 0002078";"2021-01-04";50;"Wholesale";"USD";"AXW291";119;29;5;3999.9;19999.5;3279.918
"SO - 0002795";"2021-01-04";111;"Wholesale";"USD";"AXW291";115;26;12;3872.6;46471.2;2517.19
"SO - 0004247";"2021-01-04";56;"Export";"USD";"AXW291";173;24;6;3879.3;23275.800000000003;2056.029
"SO - 0004592";"2021-01-04";21;"Wholesale";"USD";"AXW291";48;12;12;5406.900000000001;64882.8;3676.692000000001
"SO - 0005716";"2021-01-04";7;"Wholesale";"USD";"AXW291";712;20;12;234.5;2814.0;189.945
"SO - 0006790";"2021-01-04";100;"Wholesale";"USD";"AXW291";531;12;10;2532.6;25326.0;1696.842
"SO - 0006962";"2021-01-04";126;"Distributor";"USD";"AXW291";559;4;9;2720.2000000000003;24481.800000000003;1251.292
"SO - 0007587";"2021-01-04";134;"Export";"USD";"AXW291";216;13;10;2391.9;23919.0;1363.383
"SO - 0008464";"2021-01-04";44;"Distributor";"USD";"GUT930";466;15;5;3852.5;19262.5;1695.1
"SO - 0008999";"2021-01-04";126;"Distributor";"USD";"AXW291";743;15;8;5601.2;44809.6;2632.564
"SO - 0001629";"2021-01-04";116;"Distributor";"USD";"NXH382";749;13;8;2787.2000000000003;22297.6;1254.2400000000002
"SO - 0004196";"2021-01-04";11;"Distributor";"USD";"GUT930";397;1;6;1011.7;6070.200000000001;829.5939999999999
"SO - 0004344";"2021-01-04";45;"Distributor";"USD";"AXW291";899;6;8;5447.1;43576.8;2723.55
"SO - 0004511";"2021-01-04";17;"Distributor";"USD";"AXW291";743;28;10;1239.5;12395.0;942.02
"SO - 0006153";"2021-01-04";80;"Wholesale";"USD";"AXW291";89;18;11;1078.7;11865.7;852.1730000000001
"SO - 0006716";"2021-01-04";131;"Distributor";"USD";"AXW291";632;26;8;207.7;1661.6;93.465
"SO - 0007510";"2021-01-04";131;"Wholesale";"USD";"AXW291";710;5;9;3035.1;27315.9;1335.444
"SO - 0010159";"2021-01-04";60;"Export";"USD";"GUT930";16;25;9;2485.7000000000003;22371.300000000003;1043.994
"SO - 0010333";"2021-01-04";52;"Export";"USD";"AXW291";429;4;9;1005.0;9045.0;663.3000000000001
"SO - 0009096";"2021-01-04";94;"Wholesale";"USD";"AXW291";400;25;9;5594.5;50350.5;4083.985
"SO - 000725";"2021-01-04";89;"Wholesale";"USD";"AXW291";274;26;9;2512.5;22612.5;1658.25
"SO - 0002445";"2021-01-04";67;"Distributor";"USD";"AXW291";981;13;11;1005.0;11055.0;814.0500000000001
"SO - 0002523";"2021-01-04";15;"Export";"USD";"AXW291";799;1;5;3999.9;19999.5;1639.9589999999998
"SO - 0003936";"2021-01-04";29;"Wholesale";"USD";"FLR025";693;21;10;2003.3;20033.0;1282.112
"SO - 0006597";"2021-01-04";62;"Export";"USD";"NXH382";416;24;5;1922.9;9614.5;1538.3200000000002
"SO - 0008954";"2021-01-04";126;"Distributor";"USD";"AXW291";731;19;10;3939.6;39396.0;3348.66
"SO - 0008682";"2021-01-04";135;"Wholesale";"USD";"AXW291";276;4;8;3819.0;30552.0;2635.11
"SO - 0009909";"2021-01-04";45;"Wholesale";"USD";"AXW291";355;25;10;1045.2;10452.0;679.3800000000001
"SO - 0010192";"2021-01-04";29;"Wholesale";"USD";"AXW291";432;29;11;1031.8;11349.8;567.49
"SO - 0002164";"2021-01-04";95;"Wholesale";"USD";"AXW291";941;6;11;3772.1;41493.1;3093.122
"SO - 0004885";"2021-01-04";2;"Distributor";"USD";"FLR025";121;2;8;1139.0;9112.0;501.16
"SO - 0005897";"2021-01-04";41;"Wholesale";"USD";"FLR025";643;2;12;857.6;10291.2;548.864
"SO - 0010083";"2021-01-04";30;"Distributor";"USD";"AXW291";347;6;10;1192.6;11926.000000000002;954.0800000000002
"SO - 0010369";"2021-01-04";100;"Wholesale";"USD";"NXH382";104;14;11;6492.3;71415.3;3895.38
"SO - 0001080";"2021-01-04";111;"Distributor";"USD";"FLR025";185;26;7;3886.0;27202.0;2215.02
"SO - 0001979";"2021-01-04";51;"Distributor";"USD";"GUT930";78;2;12;1835.8;22029.6;1193.27
"SO - 0003540";"2021-01-04";25;"Export";"USD";"GUT930";431;4;5;1078.7;5393.5;528.563
"SO - 0005049";"2021-01-04";148;"Export";"USD";"NXH382";955;2;10;3343.3;33433.0;2240.0110000000004
"SO - 0006302";"2021-01-04";63;"Export";"USD";"AXW291";540;18;10;3953.0;39530.0;3360.05
"SO - 0006801";"2021-01-04";37;"Distributor";"USD";"AXW291";492;26;9;1072.0;9648.0;621.76
"SO - 0007533";"2021-01-04";117;"Wholesale";"USD";"AXW291";969;4;6;2371.8;14230.8;1209.6180000000002
"SO - 0003174";"2021-01-04";51;"Distributor";"USD";"NXH382";217;15;11;6150.6;67656.6;4920.4800000000005
"SO - 0003330";"2021-01-04";9;"Export";"USD";"AXW291";378;5;9;1306.5;11758.5;535.665
"SO - 0006166";"2021-01-04";111;"Wholesale";"USD";"GUT930";394;2;9;6458.8;58129.2;5489.98
"SO - 0006226";"2021-01-04";154;"Wholesale";"USD";"GUT930";281;15;9;1125.6;10130.4;810.432
"SO - 0007158";"2021-01-04";68;"Wholesale";"USD";"GUT930";501;23;8;2479.0;19832.0;1884.04
"SO - 0008762";"2021-01-04";160;"Wholesale";"USD";"GUT930";139;8;9;3892.7;35034.3;2257.766
"SO - 000848";"2021-01-05";28;"Wholesale";"USD";"AXW291";515;15;9;2217.7000000000003;19959.300000000003;1596.744
"SO - 0002922";"2021-01-05";145;"Wholesale";"USD";"AXW291";961;25;6;247.9;1487.4;123.95
"SO - 0004967";"2021-01-05";77;"Distributor";"USD";"AXW291";555;16;12;3845.8;46149.600000000006;2230.564
"SO - 0005582";"2021-01-05";118;"Wholesale";"USD";"AXW291";905;3;7;2539.3;17775.100000000002;1625.152
"SO - 0005751";"2021-01-05";163;"Wholesale";"USD";"AXW291";654;2;5;1943.0;9715.0;1651.55
"SO - 0006419";"2021-01-05";112;"Distributor";"USD";"AXW291";439;14;10;1058.6;10586.000000000002;666.9180000000001
"SO - 0008408";"2021-01-05";59;"Distributor";"USD";"AXW291";690;26;7;3966.4;27764.8;2379.84
"SO - 0009501";"2021-01-05";80;"Wholesale";"USD";"NXH382";65;13;11;783.9;8622.9;399.789
"SO - 0001410";"2021-01-05";139;"Distributor";"USD";"AXW291";753;14;7;180.9;1266.3;85.023
"SO - 0002573";"2021-01-05";35;"Distributor";"USD";"NXH382";698;20;7;5306.400000000001;37144.8;4351.2480000000005
"SO - 0004669";"2021-01-05";117;"Distributor";"USD";"GUT930";495;21;10;6210.900000000001;62109.00000000001;2857.0140000000006
"SO - 0005733";"2021-01-05";80;"Wholesale";"USD";"NXH382";155;17;11;2726.9;29995.9;1636.14
"SO - 0007362";"2021-01-05";126;"Export";"USD";"AXW291";223;19;6;1031.8;6190.799999999999;433.356
"SO - 0008890";"2021-01-05";138;"Export";"USD";"AXW291";325;3;5;3631.4;18157.0;1561.502
"SO - 0009788";"2021-01-05";131;"Distributor";"USD";"GUT930";781;13;10;2827.4;28274.0;2261.92
"SO - 0009911";"2021-01-05";78;"Distributor";"USD";"AXW291";51;17;5;911.2;4556.0;446.488
"SO - 000201";"2021-01-05";121;"Wholesale";"USD";"AXW291";516;25;6;1983.2;11899.2;1447.736
"SO - 0002018";"2021-01-05";90;"Wholesale";"USD";"AXW291";754;6;7;2365.1;16555.7;1087.946
"SO - 0003671";"2021-01-05";27;"Wholesale";"USD";"AXW291";797;27;5;3343.3;16716.5;1370.753
"SO - 0004962";"2021-01-05";109;"Distributor";"USD";"GUT930";324;13;8;5996.5;47972.0;5097.025
"SO - 0007547";"2021-01-05";141;"Wholesale";"USD";"FLR025";968;2;5;221.1;1105.5;101.706
"SO - 0010693";"2021-01-05";21;"Wholesale";"USD";"AXW291";801;3;9;3289.7000000000003;29607.300000000003;2500.172
"SO - 0008591";"2021-01-05";24;"Distributor";"USD";"AXW291";672;25;9;797.3000000000001;7175.700000000001;422.5690000000001
"SO - 0008286";"2021-01-05";55;"Wholesale";"USD";"AXW291";901;25;5;1782.2;8911.0;1354.472
"SO - 0001079";"2021-01-05";143;"Wholesale";"USD";"FLR025";872;7;11;1005.0;11055.0;623.1
"SO - 0001280";"2021-01-05";36;"Distributor";"USD";"NXH382";415;17;7;931.3;6519.1;391.146
"SO - 0002132";"2021-01-05";38;"Wholesale";"USD";"NXH382";123;6;7;1775.5;12428.5;727.9549999999999
"SO - 0003300";"2021-01-05";38;"Wholesale";"USD";"GUT930";950;4;10;1018.4;10184.0;539.7520000000001
"SO - 0003830";"2021-01-05";46;"Export";"USD";"NXH382";794;17;11;187.6;2063.6;80.66799999999999
"SO - 0006704";"2021-01-05";12;"Wholesale";"USD";"GUT930";693;20;9;5085.3;45767.7;3661.416
"SO - 0007421";"2021-01-05";26;"Wholesale";"USD";"FLR025";400;5;10;3839.1;38391.0;2303.46
"SO - 0007832";"2021-01-05";76;"Distributor";"USD";"AXW291";17;26;11;1266.3;13929.3;848.421
"SO - 0010609";"2021-01-05";115;"Export";"USD";"GUT930";167;25;12;951.4;11416.8;780.1479999999999
"SO - 000490";"2021-01-05";159;"Wholesale";"USD";"AXW291";164;26;7;234.5;1641.5;187.6
"SO - 0001318";"2021-01-05";125;"Wholesale";"USD";"NXH382";508;14;8;1983.2;15865.6;1487.4
"SO - 0001795";"2021-01-05";82;"Wholesale";"USD";"GUT930";405;13;9;4006.6;36059.4;3205.28
"SO - 0002695";"2021-01-05";141;"Wholesale";"USD";"FLR025";106;17;5;234.5;1172.5;173.53
"SO - 0003660";"2021-01-05";121;"Distributor";"USD";"AXW291";275;10;9;5226.0;47034.0;3814.98
"SO - 0005440";"2021-01-05";117;"Distributor";"USD";"GUT930";640;5;11;917.9;10096.9;706.783
"SO - 0005573";"2021-01-05";100;"Wholesale";"USD";"NXH382";845;14;5;2378.5;11892.5;1974.155
"SO - 0006929";"2021-01-05";55;"Wholesale";"USD";"GUT930";496;9;11;2666.6;29332.6;2239.944
"SO - 0008546";"2021-01-05";101;"Export";"USD";"AXW291";187;16;7;757.1;5299.7;499.686
"SO - 0008664";"2021-01-05";39;"Wholesale";"USD";"AXW291";893;19;10;1092.1;10921.000000000002;556.9710000000001
"SO - 0008494";"2021-01-05";154;"Export";"USD";"NXH382";371;26;11;1065.3;11718.3;490.038
"SO - 0010420";"2021-01-05";84;"Wholesale";"USD";"AXW291";322;1;8;1038.5;8308.0;830.8000000000001
"SO - 000460";"2021-01-05";47;"Wholesale";"USD";"AXW291";767;16;5;1728.6;8643.0;708.726
"SO - 0002439";"2021-01-05";20;"Distributor";"USD";"GUT930";217;8;8;1775.5;14204.0;1047.5449999999998
"SO - 0003678";"2021-01-05";142;"Wholesale";"USD";"NXH382";445;26;5;1232.8;6164.0;505.448
"SO - 0005861";"2021-01-05";136;"Export";"USD";"FLR025";235;14;5;1869.3;9346.5;972.036
"SO - 0010490";"2021-01-05";167;"Distributor";"USD";"AXW291";874;13;7;1085.4;7597.800000000001;846.6120000000001
"SO - 0001219";"2021-01-06";6;"Wholesale";"USD";"AXW291";608;14;5;180.9;904.5;130.248
"SO - 0001259";"2021-01-06";10;"Distributor";"USD";"AXW291";373;19;8;3825.7;30605.6;2601.476000000001
"SO - 0001802";"2021-01-06";81;"Distributor";"USD";"AXW291";388;18;9;1159.1;10431.9;533.186
"SO - 0002564";"2021-01-06";28;"Wholesale";"USD";"AXW291";857;3;12;167.5;2010.0;103.85
"SO - 0002932";"2021-01-06";123;"Wholesale";"USD";"AXW291";584;15;5;1112.2;5561.0;544.9780000000001
